NEME,KORCSOP,YEAR,VALUE
férfi,0-4,1980,445315
férfi,5-9,1980,397569
férfi,10-14,1980,362508
férfi,15-19,1980,334752
férfi,20-24,1980,415158
férfi,25-29,1980,452175
férfi,30-34,1980,381314
férfi,35-39,1980,358551
férfi,40-44,1980,313383
férfi,45-49,1980,331180
férfi,50-54,1980,330402
férfi,55-59,1980,308628
férfi,60-64,1980,170481
férfi,65-69,1980,238087
férfi,70-74,1980,172785
férfi,75-79,1980,106475
férfi,80-84,1980,50488
férfi,85+,1980,19458
férfi,0-4,2022,315808
férfi,5-9,2022,335356
férfi,10-14,2022,439263
férfi,15-19,2022,393404
férfi,20-24,2022,346861
férfi,25-29,2022,313671
férfi,30-34,2022,389033
férfi,35-39,2022,423099
férfi,40-44,2022,355443
férfi,45-49,2022,328144
férfi,50-54,2022,277582
férfi,55-59,2022,279920
férfi,60-64,2022,259856
férfi,65-69,2022,221183
férfi,70-74,2022,106513
férfi,75-79,2022,117075
férfi,80-84,2022,57685
férfi,85+,2022,25008
nő,0-4,1980,420389
nő,5-9,1980,375111
nő,10-14,1980,340281
nő,15-19,1980,315740
nő,20-24,1980,398759
nő,25-29,1980,439376
nő,30-34,1980,374673
nő,35-39,1980,362018
nő,40-44,1980,338601
nő,45-49,1980,354267
nő,50-54,1980,363836
nő,55-59,1980,365345
nő,60-64,1980,210205
nő,65-69,1980,309285
nő,70-74,1980,243452
nő,75-79,1980,168194
nő,80-84,1980,95868
nő,85+,1980,45354
nő,0-4,2022,225025
nő,5-9,2022,226605
nő,10-14,2022,225845
nő,15-19,2022,237089
nő,20-24,2022,248634
nő,25-29,2022,274207
nő,30-34,2022,299177
nő,35-39,2022,302741
nő,40-44,2022,358448
nő,45-49,2022,413945
nő,50-54,2022,352091
nő,55-59,2022,298726
nő,60-64,2022,303463
nő,65-69,2022,370369
nő,70-74,2022,307519
nő,75-79,2022,233830
nő,80-84,2022,169496
nő,85+,2022,135578
